ResourceID,Contact Point_content,Contact Point_label,Contact Point_source,Contact Point_type,Dissolution_during,Dissolution_identifier_content,Dissolution_identifier_label,Dissolution_identifier_source,Dissolution_identifier_type,Dissolution_label,Dissolution_location,Dissolution_name_content,Dissolution_name_label,Dissolution_name_language,Dissolution_name_source,Dissolution_name_type,Dissolution_source,Dissolution_Statement_content,Dissolution_Statement_label,Dissolution_Statement_language,Dissolution_Statement_name_content,Dissolution_Statement_name_label,Dissolution_Statement_name_language,Dissolution_Statement_name_source,Dissolution_Statement_name_type,Dissolution_Statement_source,Dissolution_Statement_type,Dissolution_time_begin of the begin,Dissolution_time_begin of the end,Dissolution_time_duration_highest possible value,Dissolution_time_duration_label,Dissolution_time_duration_lowest possible value,Dissolution_time_duration_Name_content,Dissolution_time_duration_Name_label,Dissolution_time_duration_Name_language,Dissolution_time_duration_Name_source,Dissolution_time_duration_Name_type,Dissolution_time_duration_source,Dissolution_time_duration_type,Dissolution_time_duration_unit,Dissolution_time_duration_value,Dissolution_time_end of the begin,Dissolution_time_end of the end,Dissolution_time_label,Dissolution_time_name_content,Dissolution_time_name_label,Dissolution_time_name_language,Dissolution_time_name_source,Dissolution_time_name_type,Dissolution_time_type,Dissolution_type,exact match,Formation_carried out by,Formation_caused by,Formation_during,Formation_identifier_content,Formation_identifier_label,Formation_identifier_source,Formation_identifier_type,Formation_influence,Formation_label,Formation_location,Formation_name_content,Formation_name_label,Formation_name_language,Formation_name_source,Formation_name_type,Formation_source,Formation_Statement_content,Formation_Statement_label,Formation_Statement_language,Formation_Statement_name_content,Formation_Statement_name_label,Formation_Statement_name_language,Formation_Statement_name_source,Formation_Statement_name_type,Formation_Statement_source,Formation_Statement_type,Formation_time_begin of the begin,Formation_time_begin of the end,Formation_time_duration_highest possible value,Formation_time_duration_label,Formation_time_duration_lowest possible value,Formation_time_duration_Name_content,Formation_time_duration_Name_label,Formation_time_duration_Name_language,Formation_time_duration_Name_source,Formation_time_duration_Name_type,Formation_time_duration_source,Formation_time_duration_type,Formation_time_duration_unit,Formation_time_duration_value,Formation_time_end of the begin,Formation_time_end of the end,Formation_time_label,Formation_time_name_content,Formation_time_name_label,Formation_time_name_language,Formation_time_name_source,Formation_time_name_type,Formation_time_type,Formation_type,Identifier_content,Identifier_label,Identifier_source,Identifier_type,_label,member of,Name_content,Name_label,Name_language,Name_source,Name_type,Professional Activity_during,Professional Activity_identifier_content,Professional Activity_identifier_label,Professional Activity_identifier_source,Professional Activity_identifier_type,Professional Activity_influence,Professional Activity_label,Professional Activity_location,Professional Activity_name_content,Professional Activity_name_label,Professional Activity_name_language,Professional Activity_name_source,Professional Activity_name_type,Professional Activity_source,Professional Activity_Statement_content,Professional Activity_Statement_label,Professional Activity_Statement_language,Professional Activity_Statement_name_content,Professional Activity_Statement_name_label,Professional Activity_Statement_name_language,Professional Activity_Statement_name_source,Professional Activity_Statement_name_type,Professional Activity_Statement_source,Professional Activity_Statement_type,Professional Activity_technique,Professional Activity_time_begin of the begin,Professional Activity_time_begin of the end,Professional Activity_time_duration_highest possible value,Professional Activity_time_duration_label,Professional Activity_time_duration_lowest possible value,Professional Activity_time_duration_Name_content,Professional Activity_time_duration_Name_label,Professional Activity_time_duration_Name_language,Professional Activity_time_duration_Name_source,Professional Activity_time_duration_Name_type,Professional Activity_time_duration_source,Professional Activity_time_duration_type,Professional Activity_time_duration_unit,Professional Activity_time_duration_value,Professional Activity_time_end of the begin,Professional Activity_time_end of the end,Professional Activity_time_label,Professional Activity_time_name_content,Professional Activity_time_name_label,Professional Activity_time_name_language,Professional Activity_time_name_source,Professional Activity_time_name_type,Professional Activity_time_type,Professional Activity_type,Professional Activity_used object,residence,source,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,type
c496a7b4-6087-4deb-a1ac-0f21bd3fd87b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"J. Paul Getty Museum, Los Angeles, California","[{'resourceId': '90e76649-d9ed-493f-88c3-92e4e5d2b77a', 'ontologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107i_is_current_or_former_member_of', 'resourceXresourceId': '', 'inverseOntologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107_has_current_or_former_member'}]","J. Paul Getty Museum, Los Angeles, California",,bc35776b-996f-4fc1-bd25-9f6432c1f349,,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90e76649-d9ed-493f-88c3-92e4e5d2b77a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Paul Getty Trust,,J. Paul Getty Trust,,bc35776b-996f-4fc1-bd25-9f6432c1f349,,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f14ee64-4552-4145-ab69-63d9ecd136cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getty Conservation Institute,"[{'resourceId': '90e76649-d9ed-493f-88c3-92e4e5d2b77a', 'ontologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107i_is_current_or_former_member_of', 'resourceXresourceId': '', 'inverseOntologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107_has_current_or_former_member'}]",Getty Conservation Institute,,bc35776b-996f-4fc1-bd25-9f6432c1f349,,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Getty Conservation Institute Science Department,"[{'resourceId': '4f14ee64-4552-4145-ab69-63d9ecd136cf', 'ontologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107i_is_current_or_former_member_of', 'resourceXresourceId': '', 'inverseOntologyProperty': 'http://www.cidoc-crm.org/cidoc-crm/P107_has_current_or_former_member'}]",Getty Conservation Institute Science Department,,bc35776b-996f-4fc1-bd25-9f6432c1f349,,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
