ResourceID,_label,part_of,Identifier_label,Identifier_content,Identifier_type,Name_label,Name_content,Name_type,Name_language,Type,Statement_label,Statement_content,Statement_type,Statement_language,current_owner
3526790a-c73d-4558-b29d-98f574c91e61,Bruker Artax x-ray fluorescence spectrometer,,,,,Display name ,Bruker Artax x-ray fluorescence spectrometer,"8f40c740-3c02-4839-b1a4-f1460823a9fe,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b",bc35776b-996f-4fc1-bd25-9f6432c1f349,,,,,,4f14ee64-4552-4145-ab69-63d9ecd136cf
73717b33-1235-44a1-8acb-63c97a5c1157,Renishaw inVia Raman microscope using a 785 nm laser,,,,,Display name ,Renishaw inVia Raman microscope using a 785 nm laser,"8f40c740-3c02-4839-b1a4-f1460823a9fe,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b",bc35776b-996f-4fc1-bd25-9f6432c1f349,,,,,,4f14ee64-4552-4145-ab69-63d9ecd136cf
3365c1bf-070d-4a8e-b859-52dec6876c1d,ASD HiRes FieldSpec4 ,,,,,Display name ,ASD HiRes FieldSpec4 ,"8f40c740-3c02-4839-b1a4-f1460823a9fe,9a5d8d6e-bfdd-46cc-a4d5-a529a3af783b",bc35776b-996f-4fc1-bd25-9f6432c1f349,,,,,,4f14ee64-4552-4145-ab69-63d9ecd136cf
