ResourceID,carried out by,during,ends before,Identifier_content,Identifier_label,Identifier_source,Identifier_type,influenced by,_label,location,Name_content,Name_label,Name_language,Name_source,Name_type,part of,source,starts after,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,technique,TimeSpan_begin of the begin,TimeSpan_begin of the end,TimeSpan_duration_highest possible value,TimeSpan_duration_label,TimeSpan_duration_lowest possible value,TimeSpan_duration_Name_content,TimeSpan_duration_Name_label,TimeSpan_duration_Name_language,TimeSpan_duration_Name_source,TimeSpan_duration_Name_type,TimeSpan_duration_source,TimeSpan_duration_type,TimeSpan_duration_unit,TimeSpan_duration_value,TimeSpan_end of the begin,TimeSpan_end of the end,TimeSpan_label,TimeSpan_name_content,TimeSpan_name_label,TimeSpan_name_language,TimeSpan_name_source,TimeSpan_name_type,TimeSpan_statement_content,TimeSpan_statement_label,TimeSpan_statement_language,TimeSpan_statement_name_content,TimeSpan_statement_name_label,TimeSpan_statement_name_language,TimeSpan_statement_name_source,TimeSpan_statement_name_type,TimeSpan_statement_source,TimeSpan_statement_type,TimeSpan_type,type,used object,Used Set
3525b687-ec2b-4dac-b3df-930dc6cd7ec8,,,,,,,,,,,Technical Examination of Byzantine Manuscript: Leaf from a Gospel Book or New Testament,,English (language),,preferred terms,"[{""resourceId"": ""308633d7-23b9-4bd5-b673-36f61f44635a"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9i_forms_part_of"", ""resourceXresourceId"": ""6047a860-bfcb-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9_consists_of""}]",,,Technical Examination of Leaf from a Gospel Book or New Testament as part of a larger project on Byzantine Manuscripts,,English (language),,,,,,,"description,brief text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,research task,,
308633d7-23b9-4bd5-b673-36f61f44635a,,,,,,,,,,,Technical Examination of Byzantine Manuscripts,,English (language),,preferred terms,,,,Technical examination of several illuminated manuscripts to look for changes in material use as a function of geography of production within the Byzantine sphere of influence,,English (language),,,,,,,"description,brief text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,,
