ResourceID,begin of the begin,begin of the end,carried out by,content,content,content,content,content,content,content,content,described by digital object,end of the begin,end of the end,highest possible value,_label,_label,_label,_label,_label,_label,_label,_label,_label,_label,_label,language,language,language,language,language,language,language,lowest possible value,observed,Part of,recorded value,source,source,source,source,source,source,source,source,source,technique,took place at,type,type,type,type,type,type,type,type,type,type,type,unit,used digital resource,used instrument,used process,value
e6809cdf-0549-4aad-8635-6aff72b9a3cd,,,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by"", ""resourceXresourceId"": ""d44f5c68-bfde-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P14i_performed""}]",XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,XRF Measurement of Leaf from a Gospel Book or New Testament,"[{""resourceId"": ""0b6c9a33-0f9b-44fe-a229-cf603c2ab7fc"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P129i_is_subject_of"", ""resourceXresourceId"": ""8a4933e6-bfde-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P129_is_about""}]",,,,,,,,,,,,,,,English (language),English (language),English (language),English (language),English (language),English (language),English (language),,"[{""resourceId"": ""58ac41f6-a218-4bd0-94eb-200710d2fdb2"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P140_assigned_attribute_to"", ""resourceXresourceId"": ""bc27b162-bfde-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P140i_was_attributed_by""}]","[{""resourceId"": ""3525b687-ec2b-4dac-b3df-930dc6cd7ec8"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9i_forms_part_of"", ""resourceXresourceId"": ""2a55d46a-bfea-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9_consists_of""}]",,,,,,,,,,,,,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,,,"[{""resourceId"": ""65f9a2eb-a88b-44f6-99e4-860db1d345dd"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object"", ""resourceXresourceId"": ""2f66ad2c-bfdf-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for""}]",,
00604cba-3dec-443b-9b1c-bfedf992bc87,,,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by"", ""resourceXresourceId"": ""6ef52972-bfe0-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P14i_performed""}]",XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,,,,,,,,,,,,,,,,English (language),English (language),English (language),English (language),English (language),English (language),English (language),,"[{""resourceId"": ""a1bce321-0425-4399-83e7-f3ab36f8df2d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2c81bc68-bfe0-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": """"}]","[{""resourceId"": ""3525b687-ec2b-4dac-b3df-930dc6cd7ec8"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9i_forms_part_of"", ""resourceXresourceId"": ""0ecab030-bfea-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P9_consists_of""}]","[{""resourceId"": ""25257700-b56d-451f-bb56-68fd9a3ae92d"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P141_assigned"", ""resourceXresourceId"": ""56ae80de-bfe0-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P141i_was_assigned_by""}]",,,,,,,,,,,,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,preferred terms,,,"[{""resourceId"": ""65f9a2eb-a88b-44f6-99e4-860db1d345dd"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object"", ""resourceXresourceId"": ""75c980ae-bfe0-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for""}]",,
