ResourceID,created_carried out by,created_caused by,created_during,created_identifier_content,created_identifier_label,created_identifier_source,created_identifier_type,created_influence,created_label,created_location,created_name_content,created_name_label,created_name_language,created_name_source,created_name_type,created_source,created_Statement_content,created_Statement_label,created_Statement_language,created_Statement_name_content,created_Statement_name_label,created_Statement_name_language,created_Statement_name_source,created_Statement_name_type,created_Statement_source,created_Statement_type,created_time_begin of the begin,created_time_begin of the end,created_time_duration_highest possible value,created_time_duration_label,created_time_duration_lowest possible value,created_time_duration_Name_content,created_time_duration_Name_label,created_time_duration_Name_language,created_time_duration_Name_source,created_time_duration_Name_type,created_time_duration_source,created_time_duration_type,created_time_duration_unit,created_time_duration_value,created_time_end of the begin,created_time_end of the end,created_time_label,created_time_name_content,created_time_name_label,created_time_name_language,created_time_name_source,created_time_name_type,created_time_type,created_type,Curation_carried out by,Curation_during,Curation_Identifier_content,Curation_Identifier_label,Curation_Identifier_source,Curation_Identifier_type,Curation_influence,Curation_label,Curation_location,Curation_name_content,Curation_name_label,Curation_name_language,Curation_name_source,Curation_name_type,Curation_source,Curation_Statement_content,Curation_Statement_label,Curation_Statement_language,Curation_Statement_name_content,Curation_Statement_name_label,Curation_Statement_name_language,Curation_Statement_name_source,Curation_Statement_name_type,Curation_Statement_source,Curation_Statement_type,Curation_technique,Curation_time_begin of the begin,Curation_time_begin of the end,Curation_time_duration_highest possible value,Curation_time_duration_label,Curation_time_duration_lowest possible value,Curation_time_duration_Name_content,Curation_time_duration_Name_label,Curation_time_duration_Name_language,Curation_time_duration_Name_source,Curation_time_duration_Name_type,Curation_time_duration_source,Curation_time_duration_type,Curation_time_duration_unit,Curation_time_duration_value,Curation_time_end of the begin,Curation_time_end of the end,Curation_time_label,Curation_time_name_content,Curation_time_name_label,Curation_time_name_language,Curation_time_name_source,Curation_time_name_type,Curation_time_type,Curation_type,Curation_used object,Identifier_content,Identifier_label,Identifier_source,Identifier_type,_label,Name_content,Name_label,Name_language,Name_source,Name_type,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,type,Used In
e80fbdd6-39dc-4e13-aa28-afe11a84bfea,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": """", ""resourceXresourceId"": ""85c8ee28-bfd0-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,This collection was created to support the technical examination of Byzantine Manuscripts.,,English (language),,,,,,,"description,brief text",2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": """", ""resourceXresourceId"": ""22d9e87a-bfd1-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,This collection is curated to serve the technical examination of Byzantine Manuscripts.,,English (language),,,,,,,"brief text,description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byzantine Manuscripts,,English (language),,preferred terms,,,,,,,,,,,projects (object groupings),"[{""resourceId"": ""308633d7-23b9-4bd5-b673-36f61f44635a"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for"", ""resourceXresourceId"": ""73909b1a-bfd1-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object""}]"
83a93fc0-6d18-4abf-896e-b7d87d62d07d,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a3970b64-bfd1-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,This collection was created to support the technical examination of Leaf from a Gospel Book or New Testament.,,English (language),,,,,,,"description,brief text",2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""96763db3-e262-4a33-83e8-fd1d5d435ace"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ce645b4e-bfd1-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,This collection is curated to serve the technical examination of Leaf from a Gospel Book or New Testament.,,English (language),,,,,,,"brief text,description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf from a Gospel Book or New Testament (Collection),,English (language),,preferred terms,,,,,,,,,,,,"[{""resourceId"": ""3525b687-ec2b-4dac-b3df-930dc6cd7ec8"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16i_was_used_for"", ""resourceXresourceId"": ""e60c5abc-bfd1-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object""}]"
