ResourceID,carries text,conforms to,Creation_carried out by,Creation_caused by,Creation_content,Creation_during,Creation_influence,Creation_label,Creation_label,Creation_location,Creation_name_content,Creation_name_label,Creation_name_language,Creation_name_source,Creation_name_type,Creation_source,Creation_source,Creation_Statement_content,Creation_Statement_label,Creation_Statement_language,Creation_Statement_name_content,Creation_Statement_name_label,Creation_Statement_name_language,Creation_Statement_name_source,Creation_Statement_name_type,Creation_Statement_source,Creation_Statement_type,Creation_technique,Creation_time_begin of the begin,Creation_time_begin of the end,Creation_time_duration_highest possible value,Creation_time_duration_label,Creation_time_duration_lowest possible value,Creation_time_duration_Name_content,Creation_time_duration_Name_label,Creation_time_duration_Name_language,Creation_time_duration_Name_source,Creation_time_duration_Name_type,Creation_time_duration_source,Creation_time_duration_type,Creation_time_duration_unit,Creation_time_duration_value,Creation_time_end of the begin,Creation_time_end of the end,Creation_time_label,Creation_time_name_content,Creation_time_name_label,Creation_time_name_language,Creation_time_name_source,Creation_time_name_type,Creation_time_type,Creation_type,Creation_type,Creation_used object,Dimension_highest possible value,Dimension_label,Dimension_lowest possible value,Dimension_Name_content,Dimension_Name_label,Dimension_Name_language,Dimension_Name_source,Dimension_Name_type,Dimension_source,Dimension_type,Dimension_unit,Dimension_value,File,File_Conforms To,File_Creation_Part of Experiment,File_Creation Procedure_Dimension_highest possible value,File_Creation Procedure_Dimension_lowest possible value,File_Creation Procedure_Dimension_Name_content,File_Creation Procedure_Dimension_Name_language,File_Creation Procedure_Dimension_Name_type,File_Creation Procedure_Dimension_Statement_content,File_Creation Procedure_Dimension_Statement_language,File_Creation Procedure_Dimension_Statement_name_content,File_Creation Procedure_Dimension_Statement_name_label,File_Creation Procedure_Dimension_Statement_name_language,File_Creation Procedure_Dimension_Statement_name_source,File_Creation Procedure_Dimension_Statement_name_type,File_Creation Procedure_Dimension_Statement_type,File_Creation Procedure_Dimension_type,File_Creation Procedure_Dimension_unit,File_Creation Procedure_Dimension_value,File_Creation_Used Instrument,File_Identifier_content,File_Identifier_type,File_Name_content,File_Name_language,File_Name_type,FIle_Statement_content,FIle_Statement_language,FIle_Statement_name_content,FIle_Statement_name_language,FIle_Statement_name_type,FIle_Statement_type,File_Type,Format-of-File,Identifier_content,Identifier_label,Identifier_source,Identifier_type,_label,member of ,Name_content,Name_label,Name_language,Name_source,Name_type,part of,Service_conforms to,Service_Identifier_content,Service_Identifier_label,Service_Identifier_source,Service_Identifier_type,Service_label,Service_Name_content,Service_Name_label,Service_Name_language,Service_Name_source,Service_Name_type,Service_Statement_content,Service_Statement_label,Service_Statement_language,Service_Statement_name_content,Service_Statement_name_label,Service_Statement_name_language,Service_Statement_name_source,Service_Statement_name_type,Service_Statement_source,Service_Statement_type,Service_type,shows image,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,type
d079d455-4126-4579-9c30-1bc09c454bc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': '/files/79d61a76-c0b3-11ea-9f58-024e0d439fdb', 'name': 'TSR_2002_23_FORS_area15REFL_avg.0.dx', 'size': 24468, 'type': '', 'index': 0, 'status': 'uploaded', 'content': 'blob:http://54.183.150.116/7f0072c7-0cf2-e441-b0ec-f57976d3debd', 'file_id': '79d61a76-c0b3-11ea-9f58-024e0d439fdb', 'accepted': True, 'lastModified': 1477672570000}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a8b28b7-9099-4489-b683-ede0afb88053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': '/files/7f78a53e-c162-11ea-9f58-024e0d439fdb', 'name': 'TSR_MS70_area01_white.bmp', 'size': 1327158, 'type': 'image/bmp', 'index': 0, 'status': 'uploaded', 'content': 'blob:http://54.183.150.116/f55ed643-59ff-4009-8bf0-94cb686c9fff', 'file_id': '7f78a53e-c162-11ea-9f58-024e0d439fdb', 'accepted': True, 'renderer': '5e05aa2e-5db0-4922-8938-b4d2b7919733', 'lastModified': 1425417948000}]",,,,,,,,,,,,,,,,,,,,,,TSR_MS70_area01_white.txt,English (language),display information,,,,,,,,,,,,,,,Files for XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,,English (language),,preferred terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36d53014-60a8-4c30-807b-069a1b5b5a78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,files/TSR_MS70_area02_red.bmp,,,,,,,,,,,,,,,,,,,,,,TSR_MS70_area02_red.bmp,English (language),display information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36d53014-60a8-4c30-807b-069a1b5b5a78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,files/TSR_MS70_area02_red.txt,,,,,,,,,,,,,,,,,,,,,,TSR_MS70_area02_red.txt,English (language),display information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
