ResourceID,carries text,conforms to,Creation_carried out by,Creation_caused by,Creation_content,Creation_during,Creation_influence,Creation_label,Creation_label,Creation_location,Creation_name_content,Creation_name_label,Creation_name_language,Creation_name_source,Creation_name_type,Creation_source,Creation_source,Creation_Statement_content,Creation_Statement_label,Creation_Statement_language,Creation_Statement_name_content,Creation_Statement_name_label,Creation_Statement_name_language,Creation_Statement_name_source,Creation_Statement_name_type,Creation_Statement_source,Creation_Statement_type,Creation_technique,Creation_time_begin of the begin,Creation_time_begin of the end,Creation_time_duration_highest possible value,Creation_time_duration_label,Creation_time_duration_lowest possible value,Creation_time_duration_Name_content,Creation_time_duration_Name_label,Creation_time_duration_Name_language,Creation_time_duration_Name_source,Creation_time_duration_Name_type,Creation_time_duration_source,Creation_time_duration_type,Creation_time_duration_unit,Creation_time_duration_value,Creation_time_end of the begin,Creation_time_end of the end,Creation_time_label,Creation_time_name_content,Creation_time_name_label,Creation_time_name_language,Creation_time_name_source,Creation_time_name_type,Creation_time_type,Creation_type,Creation_type,Creation_used object,Dimension_highest possible value,Dimension_label,Dimension_lowest possible value,Dimension_Name_content,Dimension_Name_label,Dimension_Name_language,Dimension_Name_source,Dimension_Name_type,Dimension_source,Dimension_type,Dimension_unit,Dimension_value,File,File_Conforms To,File_Creation_Part of Experiment,File_Creation Procedure_Dimension_highest possible value,File_Creation Procedure_Dimension_lowest possible value,File_Creation Procedure_Dimension_Name_content,File_Creation Procedure_Dimension_Name_language,File_Creation Procedure_Dimension_Name_type,File_Creation Procedure_Dimension_Statement_content,File_Creation Procedure_Dimension_Statement_language,File_Creation Procedure_Dimension_Statement_name_content,File_Creation Procedure_Dimension_Statement_name_label,File_Creation Procedure_Dimension_Statement_name_language,File_Creation Procedure_Dimension_Statement_name_source,File_Creation Procedure_Dimension_Statement_name_type,File_Creation Procedure_Dimension_Statement_type,File_Creation Procedure_Dimension_type,File_Creation Procedure_Dimension_unit,File_Creation Procedure_Dimension_value,File_Creation_Used Instrument,File_Identifier_content,File_Identifier_type,File_Name_content,File_Name_language,File_Name_type,FIle_Statement_content,FIle_Statement_language,FIle_Statement_name_content,FIle_Statement_name_language,FIle_Statement_name_type,FIle_Statement_type,File_Type,Format-of-File,Identifier_content,Identifier_label,Identifier_source,Identifier_type,_label,member of ,Name_content,Name_label,Name_language,Name_source,Name_type,part of,Service_conforms to,Service_Identifier_content,Service_Identifier_label,Service_Identifier_source,Service_Identifier_type,Service_label,Service_Name_content,Service_Name_label,Service_Name_language,Service_Name_source,Service_Name_type,Service_Statement_content,Service_Statement_label,Service_Statement_language,Service_Statement_name_content,Service_Statement_name_label,Service_Statement_name_language,Service_Statement_name_source,Service_Statement_name_type,Service_Statement_source,Service_Statement_type,Service_type,shows image,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,type
92565e5d-4aa3-478e-b640-93d4f43d6216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.getty.edu/iiif/manifest/f56f2d08-12e9-4c6e-9c97-7a389acb658b.json,,,uniform resource locators,,,IIIF Manifest for Leaf from a Gospel Book or New Testament,,English (language),,preferred terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228c6b8-1f31-42c5-a093-3ea286b5dcb2,,http://iiif.io/api/presentation/2/context.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://media.getty.edu/iiif/manifest/f56f2d08-12e9-4c6e-9c97-7a389acb658b.json,,,uniform resource locators,,,IIIF Manifest of Leaf from a Gospel Book or New Testament,,English (language),,"preferred terms,titles (general, names)",,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8cebbfeb-dc9c-49d4-8be6-6bb642575b26"", ""ontologyProperty"": ""https://linked.art/ns/terms/digitally_shows"", ""resourceXresourceId"": ""abc92a64-bfdc-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""https://linked.art/ns/terms/digitally_shown_by""}]",,,,,,,,,,,
25257700-b56d-451f-bb56-68fd9a3ae92d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Files from XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,,English (language),,"preferred terms,titles (general, names)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b6c9a33-0f9b-44fe-a229-cf603c2ab7fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRF Results of Leaf from a Gospel Book or New Testament,,English (language),,"preferred terms,titles (general, names)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
