ResourceID,begin of the begin,begin of the end,content,content,content,content,content,content,depicts (class),depicts (physical),during,end of the begin,end of the end,ends before,exact match,highest possible value,Identifier_content,Identifier_label,Identifier_source,Identifier_type,influence,_label,_label,_label,_label,_label,_label,_label,_label,_label,_label,language,language,language,language,language,location,lowest possible value,Name_content,Name_label,Name_language,Name_source,Name_type,part of,Polygon Identifier,source,source,source,source,source,source,source,source,starts after,Statement_content,Statement_label,Statement_language,Statement_name_content,Statement_name_label,Statement_name_language,Statement_name_source,Statement_name_type,Statement_source,Statement_type,subject,technique,type,type,type,type,type,type,type,type,type,type,unit,Used Image,used object,value
8cebbfeb-dc9c-49d4-8be6-6bb642575b26,,,,,,,,,,"[{""resourceId"": ""58ac41f6-a218-4bd0-94eb-200710d2fdb2"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P138_represents"", ""resourceXresourceId"": ""38595892-bfd7-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P138i_has_representation""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image of Leaf from a Gospel Book or New Testament,,English (language),,preferred terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba2559cb-0293-428a-8318-437a96352325,,,,,,,,,,"[{""resourceId"": ""a1bce321-0425-4399-83e7-f3ab36f8df2d"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P138_represents"", ""resourceXresourceId"": ""5268c27c-bfd7-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P138i_has_representation""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image of Leaf from a Gospel Book or New Testament Area 1,,English (language),,preferred terms,"[{""resourceId"": ""8cebbfeb-dc9c-49d4-8be6-6bb642575b26"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P106i_forms_part_of"", ""resourceXresourceId"": ""6b29498a-bfd7-11ea-9f58-024e0d439fdb"", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P106_is_composed_of""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
